editPosition,rep,analyzedLeaf,firstOffsetMs,classification
2,1,File0002.fs,9,hub
2,1,File0003.fs,55,unrelated
2,1,File0004.fs,59,unrelated
2,1,File0005.fs,63,unrelated
2,1,File0006.fs,71,unrelated
2,1,File0007.fs,76,dependent
2,1,File0008.fs,80,unrelated
2,1,File0009.fs,85,unrelated
2,1,File0010.fs,91,unrelated
2,1,File0011.fs,94,unrelated
2,1,File0012.fs,100,unrelated
2,1,File0013.fs,103,unrelated
2,1,File0014.fs,107,unrelated
2,1,File0015.fs,116,unrelated
2,1,File0016.fs,129,dependent
2,1,File0017.fs,134,unrelated
2,1,File0018.fs,138,unrelated
2,1,File0019.fs,143,unrelated
2,1,File0020.fs,148,unrelated
2,1,File0021.fs,151,unrelated
2,1,File0022.fs,155,unrelated
2,1,File0023.fs,158,unrelated
2,1,File0024.fs,164,unrelated
2,1,File0025.fs,169,dependent
2,1,File0026.fs,176,unrelated
2,1,File0027.fs,179,unrelated
2,1,File0028.fs,184,unrelated
2,1,File0029.fs,186,unrelated
2,2,File0002.fs,8,hub
2,2,File0003.fs,50,unrelated
2,2,File0004.fs,55,unrelated
2,2,File0005.fs,59,unrelated
2,2,File0006.fs,72,unrelated
2,2,File0007.fs,75,dependent
2,2,File0008.fs,81,unrelated
2,2,File0009.fs,85,unrelated
2,2,File0010.fs,89,unrelated
2,2,File0011.fs,94,unrelated
2,2,File0012.fs,98,unrelated
2,2,File0013.fs,105,unrelated
2,2,File0014.fs,110,unrelated
2,2,File0015.fs,115,unrelated
2,2,File0016.fs,121,dependent
2,2,File0017.fs,132,unrelated
2,2,File0018.fs,137,unrelated
2,2,File0019.fs,142,unrelated
2,2,File0020.fs,148,unrelated
2,2,File0021.fs,152,unrelated
2,2,File0022.fs,157,unrelated
2,2,File0023.fs,162,unrelated
2,2,File0024.fs,166,unrelated
2,2,File0025.fs,171,dependent
2,2,File0026.fs,175,unrelated
2,2,File0027.fs,183,unrelated
2,2,File0028.fs,187,unrelated
2,2,File0029.fs,191,unrelated
2,3,File0002.fs,8,hub
2,3,File0003.fs,51,unrelated
2,3,File0004.fs,56,unrelated
2,3,File0005.fs,60,unrelated
2,3,File0006.fs,65,unrelated
2,3,File0007.fs,76,dependent
2,3,File0008.fs,80,unrelated
2,3,File0009.fs,86,unrelated
2,3,File0010.fs,91,unrelated
2,3,File0011.fs,96,unrelated
2,3,File0012.fs,101,unrelated
2,3,File0013.fs,106,unrelated
2,3,File0014.fs,110,unrelated
2,3,File0015.fs,115,unrelated
2,3,File0016.fs,120,dependent
2,3,File0017.fs,131,unrelated
2,3,File0018.fs,136,unrelated
2,3,File0019.fs,141,unrelated
2,3,File0020.fs,146,unrelated
2,3,File0021.fs,150,unrelated
2,3,File0022.fs,153,unrelated
2,3,File0023.fs,157,unrelated
2,3,File0024.fs,160,unrelated
2,3,File0025.fs,164,dependent
2,3,File0026.fs,169,unrelated
2,3,File0027.fs,172,unrelated
2,3,File0028.fs,179,unrelated
2,3,File0029.fs,183,unrelated
25,1,File0025.fs,10,dependent
25,1,File0026.fs,28,unrelated
25,1,File0027.fs,34,unrelated
25,1,File0028.fs,37,unrelated
25,1,File0029.fs,43,unrelated
25,2,File0025.fs,9,dependent
25,2,File0026.fs,29,unrelated
25,2,File0027.fs,35,unrelated
25,2,File0028.fs,41,unrelated
25,2,File0029.fs,44,unrelated
25,3,File0025.fs,7,dependent
25,3,File0026.fs,24,unrelated
25,3,File0027.fs,29,unrelated
25,3,File0028.fs,33,unrelated
25,3,File0029.fs,39,unrelated
27,1,File0027.fs,9,unrelated
27,1,File0028.fs,26,unrelated
27,1,File0029.fs,28,unrelated
27,2,File0027.fs,7,unrelated
27,2,File0028.fs,25,unrelated
27,2,File0029.fs,29,unrelated
27,3,File0027.fs,9,unrelated
27,3,File0028.fs,26,unrelated
27,3,File0029.fs,29,unrelated
